alias,lang_id,source
"1 Bit, a quarter byte",1-bit-a-quarter-byte,self
1 byte :5,1-byte-5,self
-1 bytes :/,1-bytes,self
(1) Grace sent you a message,1-grace-sent-you-a-message,self
1-pak,1-pak,self
10,10,self
10 1,10-1,self
"10 digits, 100 digytes",10-digits-100-digytes,self
100BF,100bf,self
1066,1066,self
10Brainfuck,10brainfuck,self
10D Deadfish 7 with Time Travel and a Multiverse,10d-deadfish-7-with-time-travel-and-a-multiverse,self
11,11,self
↑110010000100110110010,110010000100110110010,self
111,111,self
11CORTLANG,11cortlang,self
11ty,11ty,self
123,123,self
1231,1231,self
1234,1234,self
12345678,12345678,self
129,129,self
13 bytes :D,13-bytes-d,self
1337,1337,self
¼ bytes :3,14-bytes-3,self
"16 bits, 256 bytes",16-bits-256-bytes,self
16 bytes :P,16-bytes-p,self
1620sps,1620sps,self
^^ 16h 35014ng 15 th15,16h-35014ng-15-th15,self
16x16 RGB2 panel,16x16-rgb2-panel,self
1⅞ bytes :3,178-bytes-3,self
1argasm,1argasm,self
1BNWL,1bnwl,self
1C Enterprise,1c-enterprise,self
1cnis,1cnis,self
1CP=1ICL,1cp-1icl,self
1Fish,1fish,self
1Hash,1hash,self
1L,1l,self
1L a,1l-a,self
1L AOI,1l-aoi,self
1L1D,1l1d,self
1line,1line,self
1mpr0mp2,1mpr0mp2,self
1quad,1quad,self
1st-Worst,1st-worst,self
2.+-,2-+,self
%^2^-1,2-1,self
2/9 of an esolang,2-9-of-an-esolang,self
"2 Bits, 1 Byte",2-bits-1-byte,self
"2 Bits, 1 Byte but 01 and 10 are swapped",2-bits-1-byte-but-01-and-10-are-swapped,self
"2 Bits, 256 Bytes",2-bits-256-bytes,self
2 Bits and Bytes,2-bits-and-bytes,self
2 bytes :^),2-bytes,self
2 bytes B),2-bytes-b,self
2-Dimensional Array,2-dimensional-array,self
2-ill,2-ill,self
2-pak,2-pak,self
2 Player,2-player,self
"2 poets, 1 poem",2-poets-1-poem,self
"2 Trits, 1 Trybble",2-trits-1-trybble,self
"2 trits, 3 trytes",2-trits-3-trytes,self
20-gate,20-gate,self
200,200,self
2001: An Esolang Odyssey,2001-an-esolang-odyssey,self
2002-12-14,2002-12-14,self
2014,2014,self
2015,2015,self
2017,2017,self
2020,2020,self
2022,2022,self
2023,2023,self
2024,2024,self
2025,2025,self
2050706,2050706,self
-2147483648 bytes .-.,2147483648-bytes,self
23,23,self
24,24,self
2484345508,2484345508,self
25 bytes o:,25-bytes-o,self
-25 bytes (O o),25-bytes-o-o,self
255,255,self
256,256,self
257-wrap brainfuck,257-wrap-brainfuck,self
29,29,self
2B,2b,self
2C,2c,self
2char,2char,self
2d,2d,self
2D-BCT,2d-bct,self
2D imensional,2d-imensional,self
2D-Reverse,2d-reverse,self
2DBFIPM,2dbfipm,self
2DChanger,2dchanger,self
2Deadfish,2deadfish,self
2dFish,2dfish,self
2DFuck,2dfuck,self
2dL,2dl,self
2dLang,2dlang,self
2DP,2dp,self
2dProperties,2dproperties,self
2ds,2ds,self
2dthings,2dthings,self
2iota,2iota,self
2KWLang,2kwlang,self
2L,2l,self
2lisp,2lisp,self
2obj,2obj,self
2Swap,2swap,self
2th,2th,self
2xNeg,2xneg,self
3.725254969642999e-321,3-725254969642999e-321,self
3 (AndrewBayly),3-andrewbayly,self
"3 Bits, 1.5 Bytes",3-bits-1-5-bytes,self
"3 Bits, 3 Bytes",3-bits-3-bytes,self
"3 bits, unshackled",3-bits-unshackled,self
3 bytes :v),3-bytes-v,self
3-lisp,3-lisp,self
3018AD,3018ad,self
33,33,self
⅜ bytes :lennyface:,38-bytes-lennyface,self
3900,3900,self
3apl,3apl,self
3code,3code,self
$3COND,3cond,self
3D,3d,self
3d-logo,3d-logo,self
3dcomposer,3dcomposer,self
3ds,3ds,self
3LEB,3leb,self
3ME,3me,self
3mf,3mf,self
3rip,3rip,self
3switchBF,3switchbf,self
3var,3var,self
3x,3x,self
4,4,self
"4 bits, 8 bytes",4-bits-8-bytes,self
"4 bits, unlimited bytes",4-bits-unlimited-bytes,self
4-list,4-list,self
4004,4004,self
401,401,self
41943040000000000000000000000,41943040000000000000000000000,self
42,42,self
420,420,self
4BOD,4bod,self
4cell,4cell,self
4D,4d,self
4DChess,4dchess,self
4DL,4dl,self
4est,4est,self
4g-standard,4g-standard,self
4g∅n¹/,4gn1,self
4Head,4head,self
4KOWO-like esolang,4kowo-like-esolang,self
4ME,4me,self
4RL,4rl,self
4th-dimension,4th-dimension,self
5,5,self
"5 Bits, 20 Bytes",5-bits-20-bytes,self
-5 bytes ;),5-bytes,self
5-logic,5-logic,self
5050BrainF,5050brainf,self
? $51=,51,self
512,512,self
51forth,51forth,self
5code,5code,self
5command,5command,self
