extension,count_total,count_pldb,count_linguist,count_wikipedia,count_esolang,sample_lang
.c++,1,0,1,1,1,C++
.c++-objdump,1,0,1,0,0,Cpp-ObjDump
.c++objdump,1,0,1,0,0,Cpp-ObjDump
.c-objdump,1,0,1,0,0,C-ObjDump
.c3,1,1,1,0,0,C3
.cabal,1,0,1,0,0,Cabal Config
.caddyfile,1,0,1,0,0,Caddyfile
.capnp,1,1,1,0,0,Cap'n Proto
.carbon,1,1,1,0,0,Carbon
.cats,1,1,1,1,1,C
.cbl,1,1,1,1,1,COBOL
.cbx,1,1,1,1,0,TeX
.cc,1,0,1,1,1,C++
.ccp,1,1,1,1,1,COBOL
.ccproj,1,1,1,0,0,XML
.ccxml,1,1,1,0,0,XML
.cdc,1,0,1,0,0,Cadence
.cdf,1,0,1,1,0,Wolfram Language
.cds,1,0,1,0,0,CAP CDS
.ceylon,1,1,1,0,0,Ceylon
.cfc,1,0,1,0,0,ColdFusion CFC
.cfm,1,1,1,1,0,ColdFusion
.cfml,1,1,1,1,0,ColdFusion
.cginc,1,1,1,0,0,HLSL
.chem,1,1,1,0,0,Pic
.chpl,1,1,1,0,0,Chapel
.chs,1,0,1,0,0,C2hs Haskell
.cil,1,1,1,0,0,CIL
.circom,1,0,1,0,0,Circom
.cirru,1,1,1,0,0,Cirru
.cj,1,0,1,0,0,Cangjie
.cjs,1,1,1,1,0,JavaScript
.cjsx,1,1,1,1,0,CoffeeScript
.ck,1,1,1,1,0,ChucK
.cl2,1,1,1,1,0,Clojure
.clar,1,1,1,0,0,Clarity
.click,1,1,1,0,0,Click
.clixml,1,1,1,0,0,XML
.clj,1,1,1,1,0,Clojure
.cljc,1,1,1,1,0,Clojure
.cljs,1,1,1,1,0,Clojure
.cljscm,1,1,1,1,0,Clojure
.cljx,1,1,1,1,0,Clojure
.clp,1,1,1,0,0,CLIPS
.clue,1,0,1,0,0,Clue
.clw,1,1,1,0,0,Clarion
.cmake,1,1,1,0,0,CMake
.cmd,1,0,1,1,0,Batch file
.cmp,1,1,1,0,0,Gerber Image
.cnc,1,1,1,1,0,G-code
.cnf,1,1,1,0,0,INI
.cob,1,1,1,1,1,COBOL
.cobol,1,1,1,1,1,COBOL
.cocci,1,1,1,0,0,SmPL
.code-snippets,1,0,1,0,0,JSON with Comments
.code-workspace,1,0,1,0,0,JSON with Comments
.coffee,1,1,1,1,0,CoffeeScript
.com,1,1,1,1,0,DIGITAL Command Language
.command,1,0,1,0,0,Shell
.conll,1,1,1,0,0,CoNLL-U
.conllu,1,1,1,0,0,CoNLL-U
.containerfile,1,1,1,0,0,Dockerfile
.cook,1,0,1,0,0,Cooklang
.coq,1,0,1,0,0,Rocq Prover
.cpp,1,0,1,1,1,C++
.cpp-objdump,1,0,1,0,0,Cpp-ObjDump
.cppm,1,0,1,1,1,C++
.cppobjdump,1,0,1,0,0,Cpp-ObjDump
.cproject,1,1,1,0,0,XML
.cps,1,1,1,1,0,Component Pascal
.cpy,1,1,1,1,1,COBOL
.cql,1,1,1,1,0,SQL
.cr,1,1,1,0,0,Crystal
.crc32,1,0,1,0,0,Checksums
.creole,1,1,1,0,0,Creole
.csc,1,0,1,0,0,GSC
.cscfg,1,1,1,0,0,XML
.csd,1,0,1,0,0,Csound Document
.csdef,1,1,1,0,0,XML
.csh,1,1,1,0,0,Tcsh
.cshtml,1,0,1,0,0,HTML+Razor
.cson,1,1,1,0,0,CSON
.csproj,1,1,1,0,0,XML
.css,1,1,1,0,0,CSS
.csv,1,0,1,0,0,CSV
.csx,1,0,1,0,0,C#
.ct,1,1,1,0,0,XML
.ctl,1,0,1,0,0,Visual Basic 6.0
.ctp,1,1,1,1,0,PHP
.cts,1,1,1,1,0,TypeScript
.cu,1,1,1,0,0,Cuda
.cuh,1,1,1,0,0,Cuda
.curry,1,1,1,0,0,Curry
.cw,1,1,1,0,1,Redcode
.cwl,1,1,1,0,0,Common Workflow Language
.cxx,1,0,1,1,1,C++
.cxx-objdump,1,0,1,0,0,Cpp-ObjDump
.cy,1,1,1,0,0,Cycript
.cylc,1,0,1,0,0,Cylc
.cyp,1,1,1,0,0,Cypher
.cypher,1,1,1,0,0,Cypher
.d-objdump,1,0,1,0,0,D-ObjDump
.d2,1,1,1,0,0,D2
.dae,1,1,1,0,0,COLLADA
.darcspatch,1,0,1,0,0,Darcs Patch
.dart,1,1,1,0,0,Dart
.das,1,0,1,0,0,Daslang
.dats,1,1,1,0,0,ATS
.db2,1,1,1,0,0,SQLPL
.dcl,1,1,1,0,0,Clean
.decls,1,1,1,0,0,BlitzBasic
.depproj,1,1,1,0,0,XML
.desktop,1,1,1,0,0,desktop
.dfm,1,1,1,0,0,Pascal
.dfy,1,1,1,0,0,Dafny
.dhall,1,1,1,0,0,Dhall
.di,1,1,1,0,1,D
.diff,1,1,1,0,0,Diff
.dircolors,1,0,1,0,0,dircolors
.dita,1,1,1,0,0,XML
.ditamap,1,1,1,0,0,XML
.ditaval,1,1,1,0,0,XML
.djs,1,1,1,0,1,Dogescript
.dlm,1,1,1,0,0,IDL
.dm,1,1,1,0,0,DM
.do,1,1,1,1,0,Stata
.dockerfile,1,1,1,0,0,Dockerfile
.dof,1,1,1,0,0,INI
.doh,1,1,1,1,0,Stata
.dot,1,0,1,0,0,Graphviz (DOT)
.dotsettings,1,1,1,0,0,XML
.dpatch,1,0,1,0,0,Darcs Patch
.dpr,1,1,1,0,0,Pascal
.druby,1,1,1,0,0,Mirah
.dsl,1,0,1,0,0,ASL
.dsr,1,0,1,0,0,Visual Basic 6.0
.dtx,1,1,1,1,0,TeX
.duby,1,1,1,0,0,Mirah
.dwl,1,1,1,0,0,DataWeave
.dyalog,1,1,1,0,1,APL
.dyl,1,1,1,0,0,Dylan
.dylan,1,1,1,0,0,Dylan
.dzn,1,0,1,0,0,MiniZinc Data
.eb,1,1,1,0,0,Easybuild
.ebnf,1,1,1,0,0,EBNF
.ebuild,1,1,1,0,0,Gentoo Ebuild
.ec,1,1,1,0,0,eC
.eclass,1,0,1,0,0,Gentoo Eclass
.eclxml,1,1,1,0,1,ECL
.ecr,1,0,1,0,0,HTML+ECR
.ect,1,1,1,0,0,EJS
.edc,1,1,1,0,0,Edje Data Collection
.edge,1,0,1,0,1,Edge
.edgeql,1,1,1,0,0,EdgeQL
.editorconfig,1,0,1,0,0,EditorConfig
.edn,1,1,1,0,0,edn
.eh,1,1,1,0,0,eC
.ejs,1,1,1,0,0,EJS
.el,1,1,1,1,0,Emacs Lisp
.eliom,1,1,1,1,0,OCaml
.eliomi,1,1,1,1,0,OCaml
.elm,1,0,1,0,0,Elm
.elv,1,1,1,0,0,Elvish
.em,1,1,1,0,0,EmberScript
.emacs,1,1,1,1,0,Emacs Lisp
.emberscript,1,1,1,0,0,EmberScript
.eml,1,0,1,0,0,E-mail
.env,1,0,1,0,0,Dotenv
.epj,1,0,1,0,0,Ecere Projects
.eps,1,1,1,1,0,PostScript
.epsi,1,1,1,1,0,PostScript
.eq,1,0,1,0,0,EQ
.erb,1,0,1,0,0,HTML+ERB
.erl,1,1,1,0,0,Erlang
.es6,1,1,1,1,0,JavaScript
.escript,1,1,1,0,0,Erlang
.esdl,1,1,1,0,0,EdgeQL
.ets,1,0,1,1,0,ArkTS
.exs,1,1,1,0,0,Elixir
.eye,1,1,1,0,0,Ruby
.f03,1,0,1,0,0,Fortran Free Form
